時間軸,コード,銘柄名,シグナル種別,シグナル名,スコア,継続,詳細
日足,1803,清水建設,買い,パーフェクトオーダー (強気),3,5,短期>中期>長期、3本すべて上昇中
日足,1803,清水建設,買い,終値がSMA短期を上抜け,1,1,終値がSMA5を下から上へ突破
日足,190A,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ,買い,ゴールデンクロス (短期/中期),2,1,SMA5がSMA25を上抜け
日足,190A,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ,買い,パーフェクトオーダー (強気),3,1,短期>中期>長期、3本すべて上昇中
日足,190A,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ,買い,MACD ゴールデンクロス,2,1,MACD線がシグナル線を上抜け — 上昇モメンタム
日足,190A,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ,買い,パラボリックSAR 反転 (買い),2,1,SARが株価の下側に移動 — トレンド転換（買い）
日足,190A,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ,買い,出来高急増（陽線）,2,1,出来高が20日平均の16.2倍（陽線）— 買い集め
日足,190A,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ,買い,窓開け上昇（ギャップアップ）,1,1,前日高値を上回る位置から寄付き（ギャップ +7.7%）
日足,2413,エムスリー,買い,RSI 売られすぎ反転,2,1,RSI(14)が46.3へ上昇（30以下から反転）
日足,2413,エムスリー,買い,MACD ゴールデンクロス,2,1,MACD線がシグナル線を上抜け — 上昇モメンタム
日足,2413,エムスリー,買い,窓開け上昇（ギャップアップ）,1,2,前日高値を上回る位置から寄付き（ギャップ +2.5%）
日足,3038,神戸物産,買い,出来高急増（陽線）,2,1,出来高が20日平均の5.9倍（陽線）— 買い集め
日足,3070,ジェリービーンズグループ,買い,MACD ゴールデンクロス,2,1,MACD線がシグナル線を上抜け — 上昇モメンタム
日足,3070,ジェリービーンズグループ,買い,パラボリックSAR 反転 (買い),2,1,SARが株価の下側に移動 — トレンド転換（買い）
日足,3070,ジェリービーンズグループ,買い,出来高急増（陽線）,2,1,出来高が20日平均の2.6倍（陽線）— 買い集め
日足,3103,ユニチカ,買い,パーフェクトオーダー (強気),3,1,短期>中期>長期、3本すべて上昇中
